text,category,sub_category,department,priority_level
"Mahallemizdeki sokak lambası 3 gündür yanmıyor.","Aydınlatma","Sokak lambası arızası","Aydınlatma ve Enerji İşleri","Yüksek"
"Park girişindeki lamba bozuk ve akşamları çok karanlık oluyor.","Aydınlatma","Sokak lambası arızası","Aydınlatma ve Enerji İşleri","Yüksek"
"Cadde üzerindeki elektrik direğinin lambası sürekli yanıp sönüyor.","Aydınlatma","Aydınlatma ekipmanı","Aydınlatma ve Enerji İşleri","Orta"
"Okul yolu üzerindeki aydınlatma yetersiz kaldığı için çocuklar zorlanıyor.","Aydınlatma","Yetersiz aydınlatma","Aydınlatma ve Enerji İşleri","Yüksek"
"Sokağımız geceleri tamamen karanlık kalıyor.","Aydınlatma","Yetersiz aydınlatma","Aydınlatma ve Enerji İşleri","Yüksek"
"Apartman önündeki sokak lambası kırılmış durumda.","Aydınlatma","Sokak lambası arızası","Aydınlatma ve Enerji İşleri","Orta"
"Durak çevresindeki lambalar hiç yanmıyor.","Aydınlatma","Sokak lambası arızası","Aydınlatma ve Enerji İşleri","Orta"
"Yeni yapılan yolda aydınlatma bulunmadığı için yürümek zor.","Aydınlatma","Yetersiz aydınlatma","Aydınlatma ve Enerji İşleri","Orta"
"Elektrik direği eğilmiş ve üzerindeki lamba çalışmıyor.","Aydınlatma","Aydınlatma ekipmanı","Aydınlatma ve Enerji İşleri","Yüksek"
"Meydan çevresindeki ışıklar ve lambalar arızalı.","Aydınlatma","Sokak lambası arızası","Aydınlatma ve Enerji İşleri","Orta"
"Sahil yolunda iki sokak lambası sönmüş.","Aydınlatma","Sokak lambası arızası","Aydınlatma ve Enerji İşleri","Orta"
"Çocuk parkının yanındaki lamba yanmıyor.","Aydınlatma","Sokak lambası arızası","Aydınlatma ve Enerji İşleri","Yüksek"
"Geçit altı çok karanlık ve güvenlik riski oluşturuyor.","Aydınlatma","Yetersiz aydınlatma","Aydınlatma ve Enerji İşleri","Yüksek"
"Sokak lambası gündüz yanıyor ama gece sönüyor.","Aydınlatma","Sokak lambası arızası","Aydınlatma ve Enerji İşleri","Orta"
"Mahalle girişindeki aydınlatma direği devrilmiş.","Aydınlatma","Aydınlatma ekipmanı","Aydınlatma ve Enerji İşleri","Yüksek"
"Okulun önündeki yolda büyük bir çukur oluştu.","Yol ve kaldırım","Yol çukuru","Fen İşleri Müdürlüğü","Yüksek"
"Kaldırım taşları yerinden çıkmış ve yürüyenler takılıyor.","Yol ve kaldırım","Kaldırım arızası","Fen İşleri Müdürlüğü","Yüksek"
"Mahalle yolundaki asfalt tamamen bozulmuş.","Yol ve kaldırım","Asfalt bakım ihtiyacı","Fen İşleri Müdürlüğü","Orta"
"Mazgal kapağı kırılmış ve araçlar için tehlike yaratıyor.","Yol ve kaldırım","Mazgal sorunu","Fen İşleri Müdürlüğü","Yüksek"
"Yol bozuk olduğu için araçlar sürekli zarar görüyor.","Yol ve kaldırım","Yol bakım ihtiyacı","Fen İşleri Müdürlüğü","Orta"
"Pazar yeri girişindeki kaldırım rampası kırılmış.","Yol ve kaldırım","Kaldırım arızası","Fen İşleri Müdürlüğü","Orta"
"Sokakta yağmurdan sonra oluşan çukur büyüyor.","Yol ve kaldırım","Yol çukuru","Fen İşleri Müdürlüğü","Yüksek"
"Bisiklet yolundaki asfalt çatlamış durumda.","Yol ve kaldırım","Asfalt bakım ihtiyacı","Fen İşleri Müdürlüğü","Orta"
"Engelli geçişindeki kaldırım uygun değil.","Yol ve kaldırım","Kaldırım arızası","Fen İşleri Müdürlüğü","Orta"
"Cadde ortasındaki mazgal çökmüş gibi duruyor.","Yol ve kaldırım","Mazgal sorunu","Fen İşleri Müdürlüğü","Yüksek"
"Yaya yolunda derin bir çukur var.","Yol ve kaldırım","Yol çukuru","Fen İşleri Müdürlüğü","Yüksek"
"Ara sokaktaki parke taşları dağılmış.","Yol ve kaldırım","Yol bakım ihtiyacı","Fen İşleri Müdürlüğü","Orta"
"Kaldırım kenarında su birikmesine neden olan bozukluk var.","Yol ve kaldırım","Kaldırım arızası","Fen İşleri Müdürlüğü","Orta"
"Ana yoldaki asfalt yaması tekrar açıldı.","Yol ve kaldırım","Asfalt bakım ihtiyacı","Fen İşleri Müdürlüğü","Orta"
"Okul yolu üzerindeki mazgal kapağı yerinden oynamış.","Yol ve kaldırım","Mazgal sorunu","Fen İşleri Müdürlüğü","Yüksek"
"Sokağımızdaki çöp konteynerleri dolmuş ve kötü koku oluşuyor.","Temizlik","Çöp birikmesi","Temizlik İşleri Müdürlüğü","Orta"
"Mahallede birkaç gündür temizlik yapılmadı.","Temizlik","Sokak temizliği","Temizlik İşleri Müdürlüğü","Orta"
"Pazar sonrası çok fazla atık kaldı.","Temizlik","Atık toplama","Temizlik İşleri Müdürlüğü","Orta"
"Konteynerin kapağı kırık olduğu için çöp etrafa yayılıyor.","Temizlik","Çöp konteyneri","Temizlik İşleri Müdürlüğü","Orta"
"Sokak köşesinde pis birikinti ve koku var.","Temizlik","Sokak temizliği","Temizlik İşleri Müdürlüğü","Orta"
"Çöp arabası bu hafta sokağımıza uğramadı.","Temizlik","Çöp birikmesi","Temizlik İşleri Müdürlüğü","Orta"
"Konteyner çevresi sürekli kirli kalıyor.","Temizlik","Çöp konteyneri","Temizlik İşleri Müdürlüğü","Orta"
